airline_sentiment,Cleaned_text
0,"['what', 'said.']"
1,"['plu', ""you'v"", 'ad', 'commerci', 'experience...', 'tacky.']"
0,"[""didn't"", 'today...', 'must', 'mean', 'need', 'take', 'anoth', 'trip!']"
-1,"[""it'"", 'realli', 'aggress', 'blast', 'obnoxi', '""entertainment""', 'your', ""guests'"", 'face', '&amp;', 'they', 'have', 'littl', 'recours']"
-1,"[""it'"", 'realli', 'thing', 'about']"
-1,"['serious', 'would', 'flight', 'seat', 'that', ""didn't"", 'have', 'thi', 'playing.', ""it'"", 'realli', 'onli', 'thing', 'about', 'fli']"
1,"['yes,', 'nearli', 'everi', 'time', 'thi', '“ear', 'worm”', 'won’t', 'away']"
0,"['realli', 'miss', 'prime', 'opportun', 'without', 'hat', 'parody,', 'there.']"
1,"['well,', ""didn't…but""]"
1,"['amazing,', 'arriv', 'hour', 'early.', ""you'r"", 'good']"
0,"['know', 'that', 'suicid', 'second', 'lead', 'caus', 'death', 'among', 'teen', '10-24']"
1,"['&lt;3', 'pretti', 'graphics.', 'much', 'better', 'than', 'minim', 'iconography.']"
1,"['thi', 'such', 'great', 'deal!', 'alreadi', 'think', 'about', 'trip', '&amp;', ""haven't"", 'even', 'gone', 'trip', 'yet!']"
1,"['fli', 'your', '#fabul', '#seduct', 'sky', 'again!', 'take', '#stress', 'away', 'from', 'travel']"
1,['thanks!']
-1,"['sfo-pdx', 'schedul', 'still', 'mia.']"
1,"['excit', 'first', 'cross', 'countri', 'flight', ""i'v"", 'heard', 'noth', 'great', 'thing', 'about', 'virgin', 'america.', '#29daystogo']"
-1,"['flew', 'from', 'last', 'week', ""couldn't"", 'fulli', 'seat', 'larg', 'gentleman', 'either', 'side', 'help!']"
1,['fli']
1,"['know', 'what', 'would', 'amazingli', 'awesome?', 'bos-fll', 'please!!!!!!!', 'want', 'with', 'onli', 'you.']"
-1,"['your', 'first', 'fare', 'over', 'three', 'time', 'more', 'than', 'other', 'carrier', 'when', 'seat', 'avail', 'select???']"
1,"['love', 'thi', 'graphic.']"
1,"['love', 'hipster', 'innovation.', 'feel', 'good', 'brand.']"
0,"['will', 'make', 'bos&gt;la', 'stop', 'perman', 'anytim', 'soon?']"
-1,"['guy', 'mess', 'seating..', 'reserv', 'seat', 'with', 'friend', 'guy', 'gave', 'seat', 'away', 'want', 'free', 'internet']"
-1,"['statu', 'match', 'program.', 'appli', ""it'"", 'been', 'three', 'weeks.', 'call', 'email', 'with', 'response.']"
-1,"['what', 'happen', 'vegan', 'food', 'options?!', 'least', 'site', 'know', ""won't"", 'abl', 'anyth', 'next', '#fail']"
0,"['miss', ""don't"", 'worri', ""we'll"", 'togeth', 'veri', 'soon.']"
-1,"['amaz', 'that', ""can't"", 'cold', 'from', 'vents.', '#vx358', '#noair', '#worstflightev', '#roast', '#sfotobo']"
0,"['middl', 'seat', 'eye.', 'such', 'noob', 'maneuver.', '#sendambien', '#andchexmix']"
-1,"['just', 'bked', 'cool', 'birthday', 'trip', 'with', 'you,', ""can't"", 'elev', 'caus', 'enter', 'middl', 'name', 'dure', 'flight', 'book', 'problem']"
0,"['hour', 'oper', 'club', 'that', 'post', 'onlin', 'current?']"
-1,"['help,', 'left', 'expens', 'headphon', 'flight', 'today.', 'seat', 'answer', 'l&amp;f', 'number', 'lax!']"
-1,"['await', 'return', 'phone', 'call,', 'just', 'would', 'prefer', 'your', 'onlin', 'self-servic', 'option']"
1,"['thi', 'great', 'news!', 'america', 'could', 'start', 'flight', 'hawaii', 'year']"
0,"['nice', 'vibe', 'with', 'moodlight', 'from', 'takeoff', 'touchdown.', '#moodlitmonday', '#sciencebehindtheexperi']"
1,"['moodlight', 'onli', 'fly!', 'best', 'experi', 'ever!', 'cool', 'calming.', '#moodlitmonday']"
1,"['done', 'done!', 'best', 'airlin', 'around,', 'hand', 'down!']"
0,"['when', 'book', 'flight', 'hawaii??']"
-1,"['your', 'chat', 'support', 'work', 'your', 'site:']"
1,"['view', 'downtown', 'angeles,', 'hollywood', 'sign,', 'beyond', 'that', 'rain', 'mountains!']"
-1,"['hey,', 'first', 'time', 'flyer', 'next', 'week', 'excited!', 'have', 'hard', 'time', 'get', 'flight', 'ad', 'elev', 'account.', 'help?']"
0,"['help', 'upgrad', 'flight', '2/27', 'lax---&gt;sea!!!', '🍷👍💺✈️']"
0,"['have', 'unus', 'ticket', 'move', 'citi', 'where', ""don't"", 'fly.', 'with', 'befor', 'expires?', '#travelhelp']"
0,"['flight', 'leav', 'dalla', 'seattl', 'time']"
1,"['#elevategold', 'good', 'reason:', 'rock!!']"
0,['dream']
1,"['thi', 'just', 'blew', 'mind']"
0,"['after', 'last', 'night', '#tribut', '#soundofmus', '#oscars2015', 'think', 'agre']"
0,"['were', 'entertain']"
0,"['flight', ""it'"", 'way?', 'suppos', 'take', 'minut', 'ago.', 'websit', 'still', 'show', 'time""', 'flight"".', 'thanks.']"
1,"['juli', 'andrew', 'though', 'veri', 'impressive!']"
0,"['wish', 'flew', 'atlanta...', 'soon?']"
0,"['juli', 'andrews.', 'hand', 'down.']"
0,"['will', 'flight', 'leav', 'dalla', 'februari', '24th?']"
-1,"['excit', 'about', 'your', 'lga-&gt;dal', 'deal-', ""i'v"", 'been', 'tri', 'book', 'sinc', 'last', 'week', '&amp;', 'page', 'never', 'loads.', 'thx!']"
1,"['know', 'need', 'spotifi', 'stat', '#guiltypleasur']"
1,"['ladi', 'gaga!!!', 'amazing!']"
0,['carrie!']
0,"['market', 'song?', 'know', 'what', 'think?']"
0,"['juli', 'andrew', 'first', 'ladi', 'gaga', ""wow'd"", 'last', 'night.', 'carrie?', 'meh.']"
-1,"['call', 'week', 'about', 'ad', 'flight', 'from', '2014', 'elevate...they', 'still', ""haven't"", 'shown', 'up...help!']"
0,"['great', 'have', 'with', '#carrieunderwood']"
0,"['sorry,', 'mari', 'martin', 'first!']"
1,"['love', 'three', 'realli', ""can't"", 'beat', 'classics!']"
0,"['flight', '0736', '2/24', '2:10pm.', 'tri', 'check', 'could', 'not.', 'statu', 'please.']"
-1,"['heyyyi', 'guyyyys..', 'been', 'tri', 'through', 'hour.', 'someon', 'call', 'please?']"
-1,"['virgin!', 'hold', '40-50', 'minut', 'there', 'earlier', 'flight', 'from', 'tonight;', 'earlier', 'than', '11:50pm?']"
1,"['congrat', 'win', 'award', 'best', 'deal', 'from', 'airlin', '(us)']"
-1,"['everyth', 'fine', 'until', 'lost']"
0,"['need', 'chang', 'reservation.', 'have', 'virgin', 'credit', 'card.', 'need', 'modifi', 'phone', 'waiv', 'chang', 'fee?', 'online?']"
0,"['email', 'your', 'custom', 'servic', 'team.', 'know', 'need', 'track', 'number.']"
0,"['just', 'book', 'flight', 'need', 'baggage,', 'this?']"
-1,"['your', 'airlin', 'awesom', 'your', 'loft', 'need', 'step', 'game.', 'dirti', 'tabl', 'floors?']"
